colours__name,colours__hex
Black,#101820
White,#ffffff
Light Grey,#ABACA5
Mid Grey,#7c878e
Grey,#5b6770
Charcoal,#53565A
Olive,#5D551D
Dark Green,#1d3c34
Blue Green,#003a40
Teal Green,#00635b
Green,#009f4d
Light Green,#97d700
Mint Green,#4CC1A1
Azure,#88DBDF
Sky Blue,#B8DDE1
Blue Shadow,#7993a5
Sea Blue,#009cbd
Royal Blue,#1d428a
Dark Blue,#29304e
Dark Navy,#1F2A44
Plum,#503b53
Fig,#672e45
Grape,#8a1b61
Purple,#80276c
Purple Blue,#685bc7
Light Purple,#d7b9e4
Cerise,#a50050
Rose,#c6579a
Salmon,#f09491
Wine Red,#9d2235
Bright Red,#e10600
Red Orange,#f9423a
Peach,#ffbe9f
Vintage White,#FAEDBC
Yellow Orange,#FFC700
Orange Gold,#FFAC2A
Orange,#FF8F1C
Mustard,#d29f13
Russet,#CB6015
Maroon,#912f46
Brown,#3f2021
474 C,#f1c6a7
707 C,#f9b5c4
488 C,#ecbaa8
185 U,#f15060
2022 C,#faaa8d
702 U,#d87987
7598 U,#c36d5c
Warm Red U,#ff665e
171 C,#ff5c39
176 C,#ffb1bb
7613 C,#bc8a7e
1625 U,#ffa891
7635 C,#c63663
709 C,#ef6079
7608 U,#ab6e67
7522 U,#af7871
1675 U,#ab614a
7571 U,#c3895d
7572 U,#b17f5b
727 U,#dcb596
7434 C,#9b3259
208 C,#861f41
215 C,#ac145a
7420 U,#a45768
7419 U,#a6626b
695 C,#b46b7a
207 U,#af4c64
193 C,#bf0d3e
1935 U,#c94c63
194 C,#9b2743
7427 U,#a5525c
216 C,#7d2248
7425 C,#b52555
7418 C,#cd545b
703 U,#b45a65
7625 U,#ea776c
7608 C,#a4493d
186 U,#d2515e
7677 C,#6f5091
2612 U,#86578d
7661 C,#8d6e97
7667 C,#6e7ca0
260 U,#8a658d
525 C,#572c5f
259 U,#94679c
667 C,#7c6992
7670 C,#565294
668 C,#614b79
7440 U,#b796ba
576 C,#789d4a
7439 C,#b288b9
7676 C,#7566a0
7651 C,#6a2a5b
666 C,#a192b2
522 C,#ba9cc5
262 C,#51284f
7674 C,#878cb4
7668 C,#686e9f
5115 C,#512a44
7671 C,#514689
7669 C,#615e9b
669 C,#3f2a56
7446 C,#8986ca
270 C,#b4b5df
513 U,#9e5f98
7679 C,#563d82
2603 U,#845991
7684 C,#385e9d
7682 C,#6787b7
286 U,#3255a4
7452 U,#91a0e4
2695 C,#2e1a47
2726 U,#717acf
7644 C,#582d40
504 C,#572932
7655 U,#a978a0
7647 U,#b16889
7654 C,#a2789c
683 C,#7c2855
7656 C,#8e3a80
257 C,#c6a1cf
7647 C,#a83d72
7656 U,#96648d
7440 C,#a277a6
673 C,#d986ba
220 U,#b04c75
228 C,#890c58
242 C,#80225f
687 C,#be84a3
7649 C,#8a1b61
682 C,#994878
512 C,#833177
7654 U,#aa8aa5
241 U,#af548b
7425 U,#bb5a73
229 C,#672146
704 C,#9e2a2f
199 C,#d50032
7622 C,#93272c
7637 C,#912f46
1805 U,#b45858
1817 C,#643335
7610 C,#683431
490 C,#5d2a2c
188 C,#76232f
1795 C,#d22630
7620 C,#b7312c
7621 U,#ba5d5a
586 U,#e7e988
107 C,#fbe122
3945 C,#f3e500
386 C,#e9ec6b
608 U,#e9e186
7402 C,#ecd898
103 U,#c5a900
458 C,#d9c756
7752 C,#cfb023
214 C,#ce0f69
7427 C,#971b2f
7621 C,#ab2328
7746 C,#999b30
7490 C,#719949
7503 U,#9d9272
7604 C,#e4d5d3
202 C,#862633
7542 C,#A4BCC2
647 C,#236192
337 C,#8FD6BD
282 C,#041E42
350 C,#2C5234
370 C,#658D1B
637 C,#4EC3E0
425 C,#54585A
1905 C,#F59BBB
431 C,#5B6770
485 C,#da291c
300 C,#005EB8
5255 C,#1e1a34
7689 C,#298fc2
7691 U,#467198
277 U,#adcff1
7683 C,#426da9
2995 U,#0d9ddb
300 U,#006eb6
7692 C,#005587
7697 C,#4e87a0
631 C,#3eb1c8
7704 U,#348bac
7690 C,#0076a8
2391 C,#0081a6
7701 C,#005776
292 C,#69b3e7
Reflex Blue U,#39499c
7685 C,#2c5697
7720 C,#00635b
283 C,#92c1e9
2119 C,#2c2d65
2390 C,#077cab
7686 C,#1d4f91
7695 C,#7ba7bc
549 C,#6ba4b8
2388 C,#0050b5
7687 C,#1d428a
7474 U,#458a94
542 U,#699cc6
2151 C,#256ba2
