colours__name,colours__hex
Team Black,#000000
White,#FFFFFF
Light Grey,#CDCDCD
Alloy,#9F9D9C
Gunmetal,#5A5D5A
Charcoal,#444143
Team Brown,#664D3B
Team Cardinal,#7C2E3C
Team Crimson,#AD1236
Team Red,#BB2639
Hot Pink,#FB2D62
Team Orange,#FC6221
Athletic Gold,#EDD100
Yellow,#FFDC01
Lime,#CCFB5D
Green,#17734B
Forest Green,#2F4B21
Team Maroon,#4E2E39
Team Purple,#472D74
Team Royal,#063e7a
Team Navy,#343F5B
Teal,#1D8F90
Carolina Blue,#5EB6E4
Columbia Blue,#82CAFA
Vegas Gold,#BEAD82
Aggie Maroon,#651c32
Team Columbia Blue,#1c75bc
Team Texas Orange,#c55e18
Team Teal,#009877
Old Gold,#c99700
Boston Gray,#b4b2b3
Beacon Blue,#00558c
Boston Light Blue,#9bcbeb
EF Teal,#008c95
Rochester Navy,#003c71
Team Carolina Blue,#00a5df
Denver Crimson,#8b2332
Denver Gold,#8b6f4b
Cordage Blue,#b9d9eb
